|    x     |    y     |  zx   |  nx   |  zy   |  ny   |   f   |  no   |   out    |  zr   |  ng   |
|   00c8   |   0032   |   1   |   0   |   1   |   0   |   1   |   0   |   0000   |   1   |   0   |
|   00c8   |   0032   |   1   |   1   |   1   |   1   |   1   |   1   |   0001   |   0   |   0   |
|   00c8   |   0032   |   1   |   1   |   1   |   0   |   1   |   0   |   ffff   |   0   |   1   |
|   00c8   |   0032   |   0   |   0   |   1   |   1   |   0   |   0   |   00c8   |   0   |   0   |
|   00c8   |   0032   |   1   |   1   |   0   |   0   |   0   |   0   |   0032   |   0   |   0   |
|   00c8   |   0032   |   0   |   0   |   1   |   1   |   0   |   1   |   ff37   |   0   |   1   |
|   00c8   |   0032   |   1   |   1   |   0   |   0   |   0   |   1   |   ffcd   |   0   |   1   |
|   00c8   |   0032   |   0   |   0   |   1   |   1   |   1   |   1   |   ff38   |   0   |   1   |
|   00c8   |   0032   |   1   |   1   |   0   |   0   |   1   |   1   |   ffce   |   0   |   1   |
|   00c8   |   0032   |   0   |   1   |   1   |   1   |   1   |   1   |   00c9   |   0   |   0   |
|   00c8   |   0032   |   1   |   1   |   0   |   1   |   1   |   1   |   0033   |   0   |   0   |
|   00c8   |   0032   |   0   |   0   |   1   |   1   |   1   |   0   |   00c7   |   0   |   0   |
|   00c8   |   0032   |   1   |   1   |   0   |   0   |   1   |   0   |   0031   |   0   |   0   |
|   00c8   |   0032   |   0   |   0   |   0   |   0   |   1   |   0   |   00fa   |   0   |   0   |
|   00c8   |   0032   |   0   |   1   |   0   |   0   |   1   |   1   |   0096   |   0   |   0   |
|   00c8   |   0032   |   0   |   0   |   0   |   1   |   1   |   1   |   ff6a   |   0   |   1   |
|   00c8   |   0032   |   0   |   0   |   0   |   0   |   0   |   0   |   0000   |   1   |   0   |
|   00c8   |   0032   |   0   |   1   |   0   |   1   |   0   |   1   |   00fa   |   0   |   0   |
|   00c8   |   ffce   |   1   |   0   |   1   |   0   |   1   |   0   |   0000   |   1   |   0   |
|   00c8   |   ffce   |   1   |   1   |   1   |   1   |   1   |   1   |   0001   |   0   |   0   |
|   00c8   |   ffce   |   1   |   1   |   1   |   0   |   1   |   0   |   ffff   |   0   |   1   |
|   00c8   |   ffce   |   0   |   0   |   1   |   1   |   0   |   0   |   00c8   |   0   |   0   |
|   00c8   |   ffce   |   1   |   1   |   0   |   0   |   0   |   0   |   ffce   |   0   |   1   |
|   00c8   |   ffce   |   0   |   0   |   1   |   1   |   0   |   1   |   ff37   |   0   |   1   |
|   00c8   |   ffce   |   1   |   1   |   0   |   0   |   0   |   1   |   0031   |   0   |   0   |
|   00c8   |   ffce   |   0   |   0   |   1   |   1   |   1   |   1   |   ff38   |   0   |   1   |
|   00c8   |   ffce   |   1   |   1   |   0   |   0   |   1   |   1   |   0032   |   0   |   0   |
|   00c8   |   ffce   |   0   |   1   |   1   |   1   |   1   |   1   |   00c9   |   0   |   0   |
|   00c8   |   ffce   |   1   |   1   |   0   |   1   |   1   |   1   |   ffcf   |   0   |   1   |
|   00c8   |   ffce   |   0   |   0   |   1   |   1   |   1   |   0   |   00c7   |   0   |   0   |
|   00c8   |   ffce   |   1   |   1   |   0   |   0   |   1   |   0   |   ffcd   |   0   |   1   |
|   00c8   |   ffce   |   0   |   0   |   0   |   0   |   1   |   0   |   0096   |   0   |   0   |
|   00c8   |   ffce   |   0   |   1   |   0   |   0   |   1   |   1   |   00fa   |   0   |   0   |
|   00c8   |   ffce   |   0   |   0   |   0   |   1   |   1   |   1   |   ff06   |   0   |   1   |
|   00c8   |   ffce   |   0   |   0   |   0   |   0   |   0   |   0   |   00c8   |   0   |   0   |
|   00c8   |   ffce   |   0   |   1   |   0   |   1   |   0   |   1   |   ffce   |   0   |   1   |
